"","age","ihd_mortality","non_ihd_mortality","sex"
"1",0,0,0.00474,"male"
"2",1,0,0.00018,"male"
"3",2,0,0.00018,"male"
"4",3,0,0.00018,"male"
"5",4,0,0.00018,"male"
"6",5,0,8e-05,"male"
"7",6,0,8e-05,"male"
"8",7,0,9e-05,"male"
"9",8,0,9e-05,"male"
"10",9,0,9e-05,"male"
"11",10,0,0.00011,"male"
"12",11,0,0.00011,"male"
"13",12,0,0.00011,"male"
"14",13,0,1e-04,"male"
"15",14,0,1e-04,"male"
"16",15,0,0.00033,"male"
"17",16,0,0.00032,"male"
"18",17,0,0.00031,"male"
"19",18,0,0.00032,"male"
"20",19,0,3e-04,"male"
"21",20,1e-05,0.00049,"male"
"22",21,1e-05,0.00048,"male"
"23",22,1e-05,0.00046,"male"
"24",23,1e-05,0.00046,"male"
"25",24,1e-05,0.00047,"male"
"26",25,2e-05,0.00054,"male"
"27",26,2e-05,0.00055,"male"
"28",27,2e-05,0.00054,"male"
"29",28,2e-05,0.00054,"male"
"30",29,2e-05,0.00055,"male"
"31",30,4e-05,7e-04,"male"
"32",31,4e-05,7e-04,"male"
"33",32,4e-05,0.00069,"male"
"34",33,4e-05,0.00069,"male"
"35",34,4e-05,0.00072,"male"
"36",35,1e-04,0.00102,"male"
"37",36,1e-04,0.00103,"male"
"38",37,1e-04,0.00102,"male"
"39",38,1e-04,0.001,"male"
"40",39,1e-04,0.00099,"male"
"41",40,0.00026,0.00152,"male"
"42",41,0.00025,0.00146,"male"
"43",42,0.00024,0.00142,"male"
"44",43,0.00025,0.00145,"male"
"45",44,0.00024,0.00142,"male"
"46",45,0.00043,0.00203,"male"
"47",46,0.00042,0.00199,"male"
"48",47,0.00042,0.002,"male"
"49",48,0.00042,0.00199,"male"
"50",49,0.00042,0.00201,"male"
"51",50,0.00072,0.00262,"male"
"52",51,0.00073,0.00267,"male"
"53",52,0.00075,0.00277,"male"
"54",53,0.00079,0.00288,"male"
"55",54,8e-04,0.00295,"male"
"56",55,0.00116,0.00422,"male"
"57",56,0.00121,0.00439,"male"
"58",57,0.00125,0.00455,"male"
"59",58,0.0013,0.00473,"male"
"60",59,0.0013,0.00472,"male"
"61",60,0.00197,0.00767,"male"
"62",61,0.00203,0.00791,"male"
"63",62,0.00202,0.00786,"male"
"64",63,0.00198,0.00771,"male"
"65",64,0.00192,0.0075,"male"
"66",65,0.00266,0.00997,"male"
"67",66,0.00245,0.00917,"male"
"68",67,0.00319,0.01194,"male"
"69",68,0.00329,0.01232,"male"
"70",69,0.0033,0.01238,"male"
"71",70,0.00455,0.01635,"male"
"72",71,0.00513,0.01844,"male"
"73",72,0.00575,0.02066,"male"
"74",73,0.00556,0.01997,"male"
"75",74,0.00564,0.02026,"male"
"76",75,0.0079,0.02737,"male"
"77",76,0.00843,0.02918,"male"
"78",77,0.00898,0.03109,"male"
"79",78,0.00956,0.03311,"male"
"80",79,0.01051,0.0364,"male"
"81",80,0.01436,0.04739,"male"
"82",81,0.0151,0.04983,"male"
"83",82,0.01641,0.05418,"male"
"84",83,0.01825,0.06026,"male"
"85",84,0.02084,0.0688,"male"
"86",85,0.02279,0.07418,"male"
"87",86,0.02568,0.08357,"male"
"88",87,0.02975,0.09684,"male"
"89",88,0.03565,0.11603,"male"
"90",89,0.04302,0.14001,"male"
"91",90,0.04722,0.15216,"male"
"92",91,0.05181,0.16517,"male"
"93",92,0.05684,0.17906,"male"
"94",93,0.06235,0.19384,"male"
"95",94,0.06836,0.20951,"male"
"96",95,0.07494,0.22607,"male"
"97",96,0.08212,0.24348,"male"
"98",97,0.08995,0.2617,"male"
"99",98,0.09848,0.28066,"male"
"100",99,0.10778,0.30026,"male"
"101",100,0.1179,0.32038,"male"
"102",101,0.1289,0.34086,"male"
"103",102,0.14084,0.36152,"male"
"104",103,0.15378,0.38212,"male"
"105",104,0.16779,0.4024,"male"
"106",105,0.18294,0.42206,"male"
"107",106,0.19928,0.44076,"male"
"108",107,0.21688,0.45812,"male"
"109",108,0.23579,0.47376,"male"
"110",109,0.25607,0.48726,"male"
"111",110,0.27775,0.49821,"male"
"112",111,0.30087,0.50622,"male"
"113",112,0.32546,0.51091,"male"
"114",113,0.3515,0.51196,"male"
"115",114,0.37898,0.50912,"male"
"116",115,0.40788,0.50224,"male"
"117",116,0.43811,0.49125,"male"
"118",117,0.46958,0.47623,"male"
"119",118,0.50217,0.45734,"male"
"120",119,0.53571,0.43491,"male"
"121",120,0.57,0.40935,"male"
"122",121,0.6048,0.38119,"male"
"123",122,0.63984,0.35102,"male"
"124",123,0.6748,0.31948,"male"
"125",124,0.70936,0.28723,"male"
"126",125,0.74314,0.25493,"male"
"127",126,0.77578,0.22318,"male"
"128",127,0.80692,0.19256,"male"
"129",128,0.8362,0.16355,"male"
"130",129,0.86331,0.13658,"male"
"131",130,0.88798,0.11198,"male"
"132",131,0.91,0.08998,"male"
"133",132,0.92926,0.07074,"male"
"134",133,0.94572,0.05428,"male"
"135",134,0.95944,0.04056,"male"
"136",135,0.97056,0.02944,"male"
"137",136,0.97931,0.02069,"male"
"138",137,0.98596,0.01404,"male"
"139",138,0.99084,0.00916,"male"
"140",139,0.99427,0.00573,"male"
"141",0,2e-05,0.00377,"female"
"142",1,0,0.00014,"female"
"143",2,0,0.00014,"female"
"144",3,0,0.00015,"female"
"145",4,0,0.00015,"female"
"146",5,0,7e-05,"female"
"147",6,0,8e-05,"female"
"148",7,0,8e-05,"female"
"149",8,0,8e-05,"female"
"150",9,0,8e-05,"female"
"151",10,0,9e-05,"female"
"152",11,0,9e-05,"female"
"153",12,0,8e-05,"female"
"154",13,0,8e-05,"female"
"155",14,0,8e-05,"female"
"156",15,0,0.00015,"female"
"157",16,0,0.00015,"female"
"158",17,0,0.00015,"female"
"159",18,0,0.00015,"female"
"160",19,0,0.00014,"female"
"161",20,1e-05,0.00021,"female"
"162",21,0,2e-04,"female"
"163",22,0,2e-04,"female"
"164",23,0,2e-04,"female"
"165",24,0,2e-04,"female"
"166",25,1e-05,0.00026,"female"
"167",26,1e-05,0.00026,"female"
"168",27,1e-05,0.00026,"female"
"169",28,1e-05,0.00026,"female"
"170",29,1e-05,0.00026,"female"
"171",30,2e-05,0.00039,"female"
"172",31,2e-05,0.00039,"female"
"173",32,2e-05,0.00039,"female"
"174",33,2e-05,0.00038,"female"
"175",34,2e-05,4e-04,"female"
"176",35,5e-05,0.00061,"female"
"177",36,5e-05,0.00062,"female"
"178",37,5e-05,0.00061,"female"
"179",38,5e-05,6e-04,"female"
"180",39,5e-05,0.00058,"female"
"181",40,8e-05,0.00099,"female"
"182",41,8e-05,0.00095,"female"
"183",42,8e-05,0.00091,"female"
"184",43,8e-05,0.00093,"female"
"185",44,8e-05,0.00091,"female"
"186",45,0.00014,0.00149,"female"
"187",46,0.00013,0.00147,"female"
"188",47,0.00013,0.00146,"female"
"189",48,0.00013,0.00146,"female"
"190",49,0.00013,0.00147,"female"
"191",50,0.00023,0.00207,"female"
"192",51,0.00023,0.00212,"female"
"193",52,0.00024,0.00219,"female"
"194",53,0.00025,0.00228,"female"
"195",54,0.00025,0.00234,"female"
"196",55,0.00041,0.00332,"female"
"197",56,0.00043,0.00344,"female"
"198",57,0.00044,0.00357,"female"
"199",58,0.00046,0.00369,"female"
"200",59,0.00045,0.00366,"female"
"201",60,0.00074,0.00567,"female"
"202",61,0.00076,0.0058,"female"
"203",62,0.00075,0.00575,"female"
"204",63,0.00073,0.0056,"female"
"205",64,0.00072,0.00547,"female"
"206",65,0.00115,0.0072,"female"
"207",66,0.00107,0.00665,"female"
"208",67,0.00137,0.00857,"female"
"209",68,0.00141,0.00879,"female"
"210",69,0.00141,0.00882,"female"
"211",70,0.00218,0.01193,"female"
"212",71,0.00242,0.01324,"female"
"213",72,0.00267,0.0146,"female"
"214",73,0.00257,0.01406,"female"
"215",74,0.00258,0.01412,"female"
"216",75,0.00474,0.02073,"female"
"217",76,0.00497,0.02169,"female"
"218",77,0.00518,0.02263,"female"
"219",78,0.00542,0.0237,"female"
"220",79,0.0058,0.02534,"female"
"221",80,0.01035,0.03893,"female"
"222",81,0.01058,0.0398,"female"
"223",82,0.01101,0.04138,"female"
"224",83,0.01168,0.04392,"female"
"225",84,0.01287,0.04837,"female"
"226",85,0.01854,0.06552,"female"
"227",86,0.02024,0.07151,"female"
"228",87,0.02214,0.07824,"female"
"229",88,0.02474,0.08742,"female"
"230",89,0.02787,0.09847,"female"
"231",90,0.03061,0.10745,"female"
"232",91,0.03362,0.11715,"female"
"233",92,0.03692,0.12762,"female"
"234",93,0.04054,0.13888,"female"
"235",94,0.0445,0.15099,"female"
"236",95,0.04884,0.16396,"female"
"237",96,0.05359,0.17782,"female"
"238",97,0.05879,0.19259,"female"
"239",98,0.06447,0.20827,"female"
"240",99,0.07069,0.22485,"female"
"241",100,0.07748,0.24231,"female"
"242",101,0.08489,0.26062,"female"
"243",102,0.09297,0.2797,"female"
"244",103,0.10178,0.29947,"female"
"245",104,0.11137,0.31982,"female"
"246",105,0.1218,0.34059,"female"
"247",106,0.13313,0.36161,"female"
"248",107,0.14542,0.38265,"female"
"249",108,0.15875,0.40347,"female"
"250",109,0.17317,0.42376,"female"
"251",110,0.18874,0.4432,"female"
"252",111,0.20553,0.46142,"female"
"253",112,0.2236,0.47802,"female"
"254",113,0.24301,0.49261,"female"
"255",114,0.26379,0.50476,"female"
"256",115,0.28599,0.51406,"female"
"257",116,0.30965,0.52014,"female"
"258",117,0.33476,0.52265,"female"
"259",118,0.36133,0.52131,"female"
"260",119,0.38933,0.51594,"female"
"261",120,0.41872,0.50644,"female"
"262",121,0.44942,0.49284,"female"
"263",122,0.48131,0.47527,"female"
"264",123,0.51427,0.454,"female"
"265",124,0.54811,0.42942,"female"
"266",125,0.58261,0.40201,"female"
"267",126,0.61753,0.37234,"female"
"268",127,0.65258,0.34102,"female"
"269",128,0.68744,0.3087,"female"
"270",129,0.72175,0.27603,"female"
"271",130,0.75516,0.24363,"female"
"272",131,0.7873,0.21208,"female"
"273",132,0.8178,0.1819,"female"
"274",133,0.84633,0.15354,"female"
"275",134,0.87258,0.12737,"female"
"276",135,0.8963,0.10368,"female"
"277",136,0.91733,0.08266,"female"
"278",137,0.93557,0.06443,"female"
"279",138,0.95102,0.04898,"female"
"280",139,0.96378,0.03622,"female"
